"2621241","24th St and Treat Ave, San Francisco, California, ","Match","Exact","24TH ST & TREAT AVE, SAN FRANCISCO, CA, 94110","-122.412996288349,37.75257405717","",""
"2324475","1223 S Lawndale Ave, Chicago, Illinois, ","Match","Exact","1223 S LAWNDALE AVE, CHICAGO, IL, 60623","-87.717755924085,41.865432740421","605044529","L"
"3017295","900 block of Varney St SE, Washington, District of Columbia, ","Match","Non_Exact","900 VARNEY ST SE, WASHINGTON, DC, 20032","-76.991940654723,38.835154244833","624362886","L"
"3081839","Wallace Rd and Fairmeadow Cove, Jackson, Tennessee, ","No_Match"
"2450590","511 Lee St, Cleveland, Mississippi, ","Match","Exact","511 LEE ST, CLEVELAND, MS, 38732","-90.718929682211,33.739020685335","843240","R"
"2438482","300 block of Cedar Ave, Pittsburgh, Pennsylvania, ","Match","Non_Exact","300 CEDAR AVE, PITTSBURGH, PA, 15212","-80.000852892094,40.450930959244","51627021","R"
"2794498","6315 Greenwell St, Baton Rouge, Louisiana, ","Match","Exact","6315 GREENWELL ST, BATON ROUGE, LA, 70812","-91.128549159171,30.502530805989","92188327","L"
"2729845","12445 E 39th Ave, Denver, Colorado, ","Match","Exact","12445 E 39TH AVE, DENVER, CO, 80239","-104.843903482998,39.771113862213","177396006","L"
"2666189","9232 Rainier Ave S, Seattle, Washington, ","Match","Exact","9232 RAINIER AVE S, SEATTLE, WA, 98118","-122.269825178746,47.520368731745","186597115","L"
"2396536","27 O Street NW, Washington, District of Columbia, ","Match","Exact","27 O ST NW, WASHINGTON, DC, 20001","-77.010345039389,38.908624507073","652670777","R"
"3125975","575 E Jackson Blvd, Elkhart, Indiana, ","Match","Exact","575 E JACKSON BLVD, ELKHART, IN, 46516","-85.964956705707,41.689674726369","654363761","R"
"2947726","1100 block of N High St, Columbus, Ohio, ","Match","Non_Exact","1100 N HIGH ST, COLUMBUS, OH, 43201","-83.004990854199,39.984845907566","135575549","R"
"2701037","3400 block of Lampton Ave, Jackson, Mississippi, ","Match","Non_Exact","3400 LAMPTON AVE, JACKSON, MS, 39213","-90.193592150457,32.346995718846","65369409","R"
"2349746","6321 25th Ave, Kenosha, Wisconsin, ","Match","Exact","6321 25TH AVE, KENOSHA, WI, 53143","-87.839177401802,42.577260271432","79799711","L"
"3089791","W Roosevelt Rd and S Cicero Ave, Cicero, Illinois, ","Match","Non_Exact","W ROOSEVELT RD & CICERO AVE, CICERO, IL, 60804","-87.744756217559,41.865895154875","",""
"2235778","3000 Blodgett St, Houston, Texas, ","Match","Exact","3000 BLODGETT ST, HOUSTON, TX, 77004","-95.367293424922,29.721883994142","96071961","R"
"2876444","1100 block of 21st Street NE, Washington, District of Columbia, ","Match","Non_Exact","1100 21ST ST NE, WASHINGTON, DC, 20002","-76.974240850782,38.904763909349","76231272","L"
"2286089","1036 W Highland Ave, San Bernardino, California, ","Match","Exact","1036 W HIGHLAND AVE, SAN BERNARDINO, CA, 92405","-117.306291794851,34.136110755422","144652662","R"
"2986051","3853 N Richards St, Milwaukee, Wisconsin, ","Match","Exact","3853 N RICHARDS ST, MILWAUKEE, WI, 53212","-87.907418900468,43.087251783017","77742922","L"
"2934417","Horace Dawson Ln, Seabrook, South Carolina, ","No_Match"
"2786401","Occidental Ave S and S Washington St, Seattle, Washington, ","Match","Exact","OCCIDENTAL AVE S & S WASHINGTON ST, SEATTLE, WA, 98104","-122.332876607567,47.600877383777","",""
"2830649","599 E Lakeview Dr, Springdale, Arkansas, ","Match","Exact","599 E LAKEVIEW DR, SPRINGDALE, AR, 72764","-94.131059385306,36.139958217339","635395647","R"
"2438494","Babylon Tpke and Independence Ave, Freeport, New York, ","Match","Exact","BABYLON TPKE & INDEPENDENCE AVE, FREEPORT, NY, 11520","-73.576452191753,40.669056737256","",""
"2186246","1900 block of Porter Ave, Beloit, Wisconsin, ","Match","Non_Exact","1900 PORTER AVE, BELOIT, WI, 53511","-89.020839129326,42.525428060816","49867204","L"
"2166673","2700 block of N Howard St, Philadelphia, Pennsylvania, ","Match","Non_Exact","2700 N HOWARD ST, PHILADELPHIA, PA, 19133","-75.132023367717,39.991099047511","131420692","L"
"3054690","1000 block of Liberty Square Dr, Montgomery, Alabama, ","No_Match"
"2629196","1100 block of W Sixth St, Greenville, North Carolina, ","Match","Non_Exact","1100 W 6TH ST, GREENVILLE, NC, 27834","-77.386248625619,35.611931776252","80009015","R"
"2294515",", Cowley (county), Kansas, ","No_Match"
"2668365","2520 5th St N, Columbus, Mississippi, ","Match","Exact","2520 5TH ST N, COLUMBUS, MS, 39705","-88.428988339748,33.52574739786","610588971","R"
"2406862","13902 Euclid Ave, Cleveland, Ohio, ","Match","Exact","13902 EUCLID AVE, CLEVELAND, OH, 44112","-81.586030541066,41.526445861794","61121651","R"
"3020008","500 block of Clinton Ave, Newark, New Jersey, ","Match","Non_Exact","500 CLINTON AVE, NEWARK, NJ, 07108","-74.200903501225,40.72154706029","63466097","L"
"2452798","3018 Wildflower Dr, La Plata, Maryland, ","Match","Exact","3018 WILDFLOWER DR, LA PLATA, MD, 20646","-76.956248347785,38.53753468024","635832961","R"
"2425199","6498 Ridge Ave, Philadelphia, Pennsylvania, ","Match","Exact","6498 RIDGE AVE, PHILADELPHIA, PA, 19128","-75.222780657468,40.038033684459","131396209","L"
"2426042","8251 Fontaine St, Oakland, California, ","Match","Exact","8251 FONTAINE ST, OAKLAND, CA, 94605","-122.153418222534,37.76635152133","653152094","R"
"2654191","Whitesville St and Bell St, Lagrange, Georgia, ","Match","Exact","WHITESVILLE ST & BELL ST, LAGRANGE, GA, 30240","-85.028841150515,33.024845744864","",""
"2587288","614 Dawnlight Dr, Lake Wales, Florida, ","Match","Exact","614 DAWNLIGHT DR, LAKE WALES, FL, 33853","-81.585004616282,27.912578415914","649840831","R"
"2597075","3600 block of Hollywood Ave, Shreveport, Louisiana, ","Match","Non_Exact","3600 HOLLYWOOD AVE, SHREVEPORT, LA, 71109","-93.794635117952,32.456558037893","57485139","R"
